,_id,category_code,city,country,founded_year,geoDescription,latitude,longitude,name,number_of_employees,total_money_raised,number of offices near,money by offices,employee by offices,ranking
13,5d2737547bf280155f2160e6,social,Madrid,ESP,2008,"{'type': 'Point', 'coordinates': [-3.6830316, 40.4225487]}",40.4225487,-3.6830316,Busuu,25.0,4700000,3,1566666.6666666667,23.333333333333332,940011.7333333334
14,5d2737547bf280155f2160d8,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1815999, 51.5499708]}",51.5499708,-0.1815999,Movirtu,50.0,5500000,4,1375000.0,40.5,825019.3999999999
15,5d2737547bf280155f216118,tech,Berlin,DEU,2007,"{'type': 'Point', 'coordinates': [13.398504, 52.4947266]}",52.4947266,13.398504,Moviepilot,43.0,7000000,6,1166666.6666666667,72.5,700033.8
16,5d2737547bf280155f2160c8,tech,Gothenburg,SWE,2009,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}",59.337864,18.036587,Burt,30.0,3500000,3,1166666.6666666667,24.0,700012.0
17,5d2737547bf280155f2160d0,tech,Gothenburg,SWE,2009,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}",59.337864,18.036587,Burt,30.0,3500000,3,1166666.6666666667,24.0,700012.0
18,5d2737547bf280155f2160a5,news,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.350987, 48.856667]}",48.856667,2.350987,fotopedia,17.0,12700000,11,1154545.4545454546,24.727272727272727,692745.9636363636
19,5d2737547bf280155f216124,tech,Barcelona,ESP,2009,"{'type': 'Point', 'coordinates': [2.1920231, 41.4063346]}",41.4063346,2.1920231,Teambox,35.0,6750000,6,1125000.0,14.5,675010.6000000001
20,5d2737547bf280155f21609e,tech,Madrid,ESP,2007,"{'type': 'Point', 'coordinates': [-3.6952896, 40.43094]}",40.43094,-3.6952896,eRepublik,30.0,2750000,3,916666.6666666666,23.333333333333332,550011.7333333334
21,5d2737547bf280155f2160bb,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1020894, 51.5212481]}",51.5212481,-0.1020894,Videoplaza,70.0,15900000,18,883333.3333333334,25.11111111111111,530024.4444444445
22,5d2737547bf280155f216101,tech,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.3347594, 48.8682244]}",48.8682244,2.3347594,ividence,30.0,9700000,11,881818.1818181818,24.727272727272727,529109.6
23,5d2737547bf280155f216098,tech,Toronto,CAN,2007,"{'type': 'Point', 'coordinates': [-79.388279, 43.666953]}",43.666953,-79.388279,ModiFace,35.0,4250000,5,850000.0,28.0,510015.2
24,5d2737547bf280155f2160b6,tech,Stockholm,SWE,2007,"{'type': 'Point', 'coordinates': [18.064488, 59.332788]}",59.332788,18.064488,Bambuser,12.0,2500000,3,833333.3333333334,24.0,500012.0
25,5d2737547bf280155f2160ca,enterprise,Barcelona,ESP,2007,"{'type': 'Point', 'coordinates': [2.192023, 41.406335]}",41.406335,2.192023,3scale,15.0,5000000,6,833333.3333333334,14.5,500010.6
26,5d2737547bf280155f2160ce,enterprise,Barcelona,ESP,2007,"{'type': 'Point', 'coordinates': [2.192023, 41.406335]}",41.406335,2.192023,3scale,15.0,5000000,6,833333.3333333334,14.5,500010.6
27,5d2737547bf280155f2160b8,tech,Munich,DEU,2007,"{'type': 'Point', 'coordinates': [11.5677288, 48.1281209]}",48.1281209,11.5677288,Aloqa,14.0,1500000,2,750000.0,27.0,450012.39999999997
28,5d2737547bf280155f2160f8,tech,London,GBR,2009,"{'type': 'Point', 'coordinates': [-0.0936688, 51.5119418]}",51.5119418,-0.0936688,Cognitive Match,40.0,10200000,16,637500.0,24.375,382522.55
29,5d2737547bf280155f2160b7,tech,"Vancouver, BC",CAN,2007,"{'type': 'Point', 'coordinates': [-123.120893, 49.275332]}",49.275332,-123.120893,Lat49,24.0,3800000,6,633333.3333333334,78.5,380036.2
30,5d2737547bf280155f2160d6,real_estate,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1010801, 51.5037471]}",51.5037471,-0.1010801,Zoopla,50.0,10200000,17,600000.0,23.176470588235293,360022.87058823527
31,5d2737547bf280155f2160c9,tech,Ramat Gan,ISR,2008,"{'type': 'Point', 'coordinates': [34.8003705, 32.037363]}",32.037363,34.8003705,Tweegee,22.0,3000000,5,600000.0,23.8,360013.52
32,5d2737547bf280155f2160cd,tech,Ramat Gan,ISR,2008,"{'type': 'Point', 'coordinates': [34.8003705, 32.037363]}",32.037363,34.8003705,Tweegee,22.0,3000000,5,600000.0,23.8,360013.52
33,5d2737547bf280155f2160e0,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1506897, 51.5441671]}",51.5441671,-0.1506897,Adjug,47.0,6500000,11,590909.0909090909,31.09090909090909,354566.69090909086
34,5d2737547bf280155f216108,tech,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.4476331, 48.8952712]}",48.8952712,2.4476331,WEEZEVENT,20.0,1100000,2,550000.0,20.0,330009.6
35,5d2737547bf280155f2160c0,tech,Berlin,DEU,2008,"{'type': 'Point', 'coordinates': [13.4124563, 52.5283614]}",52.5283614,13.4124563,plista,100.0,3800000,7,542857.1428571428,62.857142857142854,325745.0285714285
36,5d2737547bf280155f216097,tech,Tel-Aviv,ISR,2007,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",32.0554,34.7595,Flixwagon,10.0,2500000,5,500000.0,23.8,300013.52
37,5d2737547bf280155f216099,tech,Helsinki,FIN,2007,"{'type': 'Point', 'coordinates': [24.9410012, 60.1681494]}",60.1681494,24.9410012,XIHA,8.0,1000000,2,500000.0,7.0,300004.39999999997
38,5d2737547bf280155f2160cb,travel,Singapore,SGP,2011,"{'type': 'Point', 'coordinates': [-157.78907, 21.303049]}",21.303049,-157.78907,travelmob,4.0,1000000,2,500000.0,4.0,300003.19999999995
39,5d2737547bf280155f2160c4,travel,Singapore,SGP,2011,"{'type': 'Point', 'coordinates': [-157.78907, 21.303049]}",21.303049,-157.78907,travelmob,4.0,1000000,2,500000.0,4.0,300003.19999999995
40,5d2737547bf280155f216122,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1366861, 51.5152023]}",51.5152023,-0.1366861,Struq,50.0,8500000,19,447368.4210526316,26.210526315789473,268446.7368421053
41,5d2737547bf280155f21609d,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0934254, 51.5141566]}",51.5141566,-0.0934254,Zemanta,30.0,7350000,17,432352.9411764706,23.823529411764707,259434.89411764705
42,5d2737547bf280155f2160ec,tech,London,GBR,2009,"{'type': 'Point', 'coordinates': [-0.1020265, 51.5196135]}",51.5196135,-0.1020265,Shutl,10.0,7660000,18,425555.55555555556,25.11111111111111,255357.77777777775
43,5d2737547bf280155f2160b1,tech,Asnieres sur seine,FRA,2007,"{'type': 'Point', 'coordinates': [2.2860418, 48.9064804]}",48.9064804,2.2860418,SquareClock,10.0,1250000,3,416666.6666666667,15.0,250008.4
44,5d2737547bf280155f2160f4,tech,Halifax,CAN,2007,"{'type': 'Point', 'coordinates': [-79.3777473, 43.648786]}",43.648786,-79.3777473,Mashup Arts,6.0,1580000,4,395000.0,34.0,237016.80000000002
45,5d2737547bf280155f216126,tech,Brussels,BEL,2009,"{'type': 'Point', 'coordinates': [4.3464721, 50.83997]}",50.83997,4.3464721,Getyoo,10.0,1130000,3,376666.6666666667,10.0,226006.4
46,5d2737547bf280155f2160de,tech,Levallois-Perret,FRA,2007,"{'type': 'Point', 'coordinates': [2.3593849, 48.8687217]}",48.8687217,2.3593849,PrestaShop,80.0,3900000,11,354545.45454545453,24.727272727272727,212745.9636363636
47,5d2737547bf280155f2160b9,education,Amsterdam,NLD,2007,"{'type': 'Point', 'coordinates': [4.912106, 52.354525]}",52.354525,4.912106,Myngle,17.0,2100000,6,350000.0,12.0,210009.59999999998
48,5d2737547bf280155f216112,tech,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.3389864, 48.8318497]}",48.8318497,2.3389864,Kwaga,10.0,2150000,7,307142.85714285716,30.571428571428573,184303.54285714286
49,5d2737547bf280155f216096,finance,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1418973, 51.5108803]}",51.5108803,-0.1418973,Seedcamp,4.0,5000000,18,277777.77777777775,24.88888888888889,166691.0222222222
50,5d2737547bf280155f2160a4,tech,Vancouver,CAN,2007,"{'type': 'Point', 'coordinates': [-123.1078045, 49.2821075]}",49.2821075,-123.1078045,Strutta,12.0,1600000,6,266666.6666666667,78.5,160036.19999999998
51,5d2737547bf280155f2160ba,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,TweetDeck,5.0,3800000,16,237500.0,24.125,142522.44999999998
52,5d2737547bf280155f2160ab,sports,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.130772, 51.550757]}",51.550757,-0.130772,Smarkets,15.0,2710000,13,208461.53846153847,29.384615384615383,125099.07692307692
53,5d2737547bf280155f2160a6,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0766034, 51.5220072]}",51.5220072,-0.0766034,Bragster,10.0,3500000,17,205882.35294117648,23.823529411764707,123552.54117647058
54,5d2737547bf280155f21610f,news,,FRA,2007,"{'type': 'Point', 'coordinates': [2.3935987, 48.8711089]}",48.8711089,2.3935987,Rue89,20.0,1840000,9,204444.44444444444,23.555555555555557,122683.28888888887
55,5d2737547bf280155f21611e,music,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.0856982, 51.5253765]}",51.5253765,-0.0856982,Musicmetric,15.0,3400000,18,188888.88888888888,25.11111111111111,113357.77777777777
56,5d2737547bf280155f2160d5,social,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0925694, 51.5027669]}",51.5027669,-0.0925694,SocialGO,12.0,3000000,17,176470.58823529413,23.176470588235293,105905.22352941177
57,5d2737547bf280155f21609a,tech,Amsterdam,NLD,2007,"{'type': 'Point', 'coordinates': [4.8948623, 52.3745228]}",52.3745228,4.8948623,Wakoopa,8.0,1000000,6,166666.66666666666,12.0,100009.59999999999
58,5d2737547bf280155f216127,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1037742, 51.517356]}",51.517356,-0.1037742,Testplant,50.0,2560000,18,142222.22222222222,25.11111111111111,85357.77777777777
59,5d2737547bf280155f2160e2,tech,PARIS,FRA,2007,"{'type': 'Point', 'coordinates': [2.3216223, 48.8545738]}",48.8545738,2.3216223,EcoVadis,50.0,1400000,10,140000.0,25.2,84018.08
60,5d2737547bf280155f216117,tech,Paris,FRA,2009,"{'type': 'Point', 'coordinates': [2.3509871, 48.8566667]}",48.8566667,2.3509871,Ykone,10.0,1500000,11,136363.63636363635,24.727272727272727,81836.87272727273
61,5d2737547bf280155f2160fd,social,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1046546, 51.5224267]}",51.5224267,-0.1046546,Mendeley,27.0,2130000,18,118333.33333333333,25.11111111111111,71024.44444444444
62,5d2737547bf280155f21611c,enterprise,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,oneDrum,5.0,1000000,16,62500.0,24.125,37522.450000000004
